step,timestamp,current_mark_ml,pred_adaboost,pred_GBR,pred_lr,pred_svr,pred_heuristic,current_mark_nn,pred_lstm,pred_optm,action_adaboost,action_GBR,action_lr,action_svr,action_heuristic,action_lstm,action_optm,portfolio_value_adaboost,portfolio_value_GBR,portfolio_value_lr,portfolio_value_svr,portfolio_value_heuristic,portfolio_value_lstm,portfolio_value_optm,investment_adaboost,investment_GBR,investment_lr,investment_svr,investment_heuristic,investment_lstm,investment_optm
15,2025-04-08 05:29:32.991734,58969.03,58966.13756625453,58967.84660357582,58970.27852864833,58971.536192308806,58968.909999999996,58969.03,58975.18,58969.82,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,25999.88739923809,0.0,31999.74325924123,0.0,0.0,0.0,0.0,26000.0,0.0,32000.0,0.0
16,2025-04-08 05:29:33.276947,58969.03,58966.13756625453,58967.84660357582,58969.52910718843,58970.891157907085,58967.43111116512,58969.03,58974.496,58969.44,hold,hold,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,25999.88739923809,0.0,32999.74325924123,0.0,0.0,0.0,0.0,26000.0,0.0,33000.0,0.0
17,2025-04-08 05:29:33.560694,58969.03,58966.13756625453,58966.47544742055,58967.079300568395,58968.54047348014,58966.97353989506,58969.03,58972.06,58967.582,hold,hold,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,0.0,0.0,0.0,25999.88739923809,0.0,33999.74325924124,0.0,0.0,0.0,0.0,26000.0,0.0,34000.0,0.0
18,2025-04-08 05:29:33.844430,58965.61,58966.13756625453,58966.47544742055,58967.03391102873,58968.53561353744,58960.102095203656,58965.61,58972.074,58967.645,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),0.0,0.0,0.0,26998.379495599427,0.0,34997.771391602466,999.9999999999999,0.0,0.0,0.0,27000.0,0.0,35000.0,1000.0
19,2025-04-08 05:29:34.130116,58965.61,58966.13756625453,58966.47544742055,58966.97500826368,58968.48340576851,58963.440857356196,58965.61,58972.027,58967.66,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),0.0,0.0,0.0,27998.379495599427,0.0,35997.77139160246,1999.9999999999998,0.0,0.0,0.0,28000.0,0.0,36000.0,2000.0
20,2025-04-08 05:29:34.414326,58965.61,58966.13756625453,58966.47544742055,58967.563573108775,58968.96190337336,58963.35882439607,58965.61,58972.53,58968.316,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),0.0,0.0,0.0,28998.379495599427,0.0,36997.77139160246,3000.0,0.0,0.0,0.0,29000.0,0.0,37000.0,3000.0
21,2025-04-08 05:29:34.704914,58965.61,58966.13756625453,58966.47544742055,58967.3769876109,58968.80823657422,58963.107986957526,58965.61,58972.336,58968.09,hold,hold,hold,buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),0.0,0.0,0.0,29998.379495599427,0.0,37997.77139160245,3999.9999999999995,0.0,0.0,0.0,30000.0,0.0,38000.0,4000.0
22,2025-04-08 05:29:34.991917,58963.22,58966.13756625453,58966.47544742055,58967.31630962702,58968.76389060835,58958.32731665137,58963.22,58972.29,58968.027,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),1000.0,1000.0,1000.0,30997.163598282423,0.0,38996.23126213333,4999.837871600073,1000.0,1000.0,1000.0,31000.0,0.0,39000.0,5000.0
23,2025-04-08 05:29:35.278912,58963.22,58966.13756625453,58966.47544742055,58967.31630962702,58968.76389060835,58960.71731665137,58963.22,58972.29,58968.027,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),2000.0,2000.0,2000.0,31997.163598282426,0.0,39996.23126213333,5999.837871600073,2000.0,2000.0,2000.0,32000.0,0.0,40000.0,6000.0
24,2025-04-08 05:29:35.570917,58963.22,58966.13756625453,58966.086062220624,58966.99103075211,58968.36494145684,58960.72444641879,58963.22,58971.855,58967.77,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),3000.0,3000.0,3000.0,32997.16359828243,0.0,40996.23126213333,6999.837871600073,3000.0,3000.0,3000.0,33000.0,0.0,41000.0,7000.0
25,2025-04-08 05:29:35.855648,58963.33,58966.13756625453,58966.086062220624,58967.066219503446,58968.41749434146,58961.09017634889,58963.33,58971.926,58967.875,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),4000.0055967092703,4000.0055967092703,4000.0055967092703,33997.2251567929,0.0,41996.30774346252,7999.850930285909,4000.0,4000.0,4000.0,34000.0,0.0,42000.0,8000.0
26,2025-04-08 05:29:36.144910,58963.33,58966.13756625453,58966.086062220624,58966.99103075211,58968.36494145684,58960.941907880086,58963.33,58971.855,58967.77,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),5000.00559670927,5000.00559670927,5000.00559670927,34997.225156792905,0.0,42996.30774346253,8999.85093028591,5000.0,5000.0,5000.0,35000.0,0.0,43000.0,9000.0
27,2025-04-08 05:29:36.431908,58963.57,58966.13756625453,58966.47544742055,58967.54601403336,58968.96704240943,58961.570824704315,58963.57,58972.504,58968.195,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),6000.0259483641585,6000.0259483641585,6000.0259483641585,35997.36760692314,0.0,43996.48275246996,9999.887562616941,6000.0,6000.0,6000.0,36000.0,0.0,44000.0,10000.0
28,2025-04-08 05:29:36.717928,58963.57,58966.13756625453,58966.47544742055,58967.54601403336,58968.96704240943,58961.33060704104,58963.57,58972.504,58968.195,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),7000.0259483641585,7000.0259483641585,7000.0259483641585,36997.36760692314,0.0,44996.48275246996,10999.887562616941,7000.0,7000.0,7000.0,37000.0,0.0,45000.0,11000.0
